category,brand,product_name,discounted_price,original_price,image_url
fruits vegetables,Fresho,Green Coral Lettuce - Hydroponically Grown With Live Roots,₹50,₹68.49,"https://www.bigbasket.com/media/uploads/p/m/40198826_1-fresho-green-coral-lettuce-hydroponically-grown-with-live-roots.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Cabbage - Red (Loose),₹88,₹120.55,"https://www.bigbasket.com/media/uploads/p/m/10000170_13-fresho-cabbage-red.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Red Oak Lettuce - Hydroponically Grown With Live Roots,₹88,₹120.55,"https://www.bigbasket.com/media/uploads/p/m/40198824_1-fresho-red-oak-lettuce-hydroponically-grown-with-live-roots.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Lollo Rosso Lettuce - Hydroponically Grown With Live Roots,₹57,₹78.08,"https://www.bigbasket.com/media/uploads/p/m/40198825_1-fresho-lollo-rosso-lettuce-hydroponically-grown-with-live-roots.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Methi - Chopped,₹79,₹108.22,"https://www.bigbasket.com/media/uploads/p/m/30005204_3-fresho-methi-chopped.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Papaya - Small,₹56,₹76.71,"https://www.bigbasket.com/media/uploads/p/m/40114961_4-fresho-papaya-small.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Fresho Ooty Cabbage,₹35,₹47.95,"https://www.bigbasket.com/media/uploads/p/m/40184967_2-fresho-fresho-ooty-cabbage.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Muskmelon - Honeydew,₹69,₹94.52,"https://www.bigbasket.com/media/uploads/p/m/40073733_10-fresho-muskmelon-honeydew.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Cabbage - Red, Organically Grown (Loose)",₹39,₹53.42,"https://www.bigbasket.com/media/uploads/p/m/50000477_6-fresho-cabbage-red-organically-grown.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Lettuce - Iceberg Green, Hydroponically Grown",₹50,₹68.49,"https://www.bigbasket.com/media/uploads/p/m/40211681_1-fresho-lettuce-iceberg-green-hydroponically-grown.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Apple - Shimla, Regular",₹139,₹256.16,"https://www.bigbasket.com/media/uploads/p/m/40226801_5-fresho-apple-shimla.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Potato - Jyoti,₹35,₹50.68,"https://www.bigbasket.com/media/uploads/p/m/40048453_8-fresho-potato-jyoti.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Mix Lettuce Box with Cherry Tomatoes - Hydroponically Grown,₹117,₹160.27,"https://www.bigbasket.com/media/uploads/p/m/40211694_1-fresho-mix-lettuce-box-with-cherry-tomatoes-hydroponically-grown.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Mango - Gulap khas,₹180,₹246.58,"https://www.bigbasket.com/media/uploads/p/m/40047693_4-fresho-mango-gulap-khas.jpg?tr=w-3840,q=80"
